Name,Year,Week,Month,Team,Oppt,Age,h/a,Favored,Spread,O/U,Temperature,Wind,Receptions,Targets,Rec_TDs,Rec_Yds,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Weather_DOME,Weather_Fog,Weather_Rain,Weather_Rain | Fog,Weather_Snow,Weather_Snow | Fog,Weather_Snow | Freezing Rain,Weather_Sunny,FD salary,FD points
"Adams, Jerell",2016,5,October,NYG,GB,23.283,0,0,-7.0,49.0,48.0,2.0,2.0,2.333333333333333,0.0,12.666666666666664,23,4.333333333333333,8.0,0.3333333333333333,49.66666666666666,0,0,0,0,0,0,0,1,4500.0,3.7
"Adams, Jerell",2016,7,October,NYG,LAR,23.296999999999997,0,1,-2.5,44.5,54.0,10.0,2.0,2.333333333333333,0.0,18.0,9,4.666666666666667,8.333333333333334,0.3333333333333333,35.333333333333336,0,0,0,0,0,0,0,1,4500.0,1.0
"Adams, Jerell",2016,9,November,NYG,PHI,23.311,1,1,-3.0,42.5,57.0,8.0,1.3333333333333333,1.3333333333333333,0.0,13.666666666666664,5,5.0,8.666666666666666,0.0,33.666666666666664,0,0,0,0,0,0,0,1,4500.0,3.9
"Adams, Jerell",2016,11,November,NYG,CHI,23.325,1,1,-7.0,41.5,40.0,12.0,3.0,3.0,1.0,18.0,6,5.333333333333333,7.666666666666668,0.0,69.0,0,0,0,0,0,0,0,1,4500.0,0.0
"Adams, Jerell",2016,13,December,NYG,PIT,23.339000000000002,0,0,-6.5,49.5,40.0,2.0,1.5,2.0,0.5,9.0,3,2.333333333333333,4.333333333333333,0.3333333333333333,56.0,0,0,0,0,0,0,0,1,4500.0,1.5
"Adams, Jerell",2016,14,December,NYG,DAL,23.346,1,0,-3.5,47.0,30.0,2.0,1.3333333333333333,2.333333333333333,0.3333333333333333,9.333333333333334,26,4.333333333333333,7.666666666666668,0.6666666666666666,71.33333333333333,0,0,0,0,0,0,0,1,4500.0,2.1
"Adams, Jerell",2016,15,December,NYG,DET,23.353,1,1,-4.0,42.5,48.0,4.0,1.0,2.0,0.0,7.0,20,4.666666666666667,8.666666666666666,0.3333333333333333,59.66666666666666,0,0,0,0,0,0,0,1,4500.0,3.3
"Adams, Jerell",2016,16,December,NYG,PHI,23.357,0,0,-1.5,42.5,41.0,8.0,2.0,3.0,0.0,13.0,18,5.666666666666668,10.0,0.3333333333333333,68.0,0,0,0,0,0,0,0,1,4500.0,1.4
"Adams, Jerell",2017,2,September,NYG,DET,24.261,1,1,-3.5,43.5,72.0,7.0,1.6666666666666667,2.6666666666666665,0.0,12.333333333333336,11,7.0,9.0,1.0,59.0,0,0,0,0,0,0,0,1,4500.0,4.3
"Adams, Jerell",2017,5,October,NYG,LAC,24.281,1,1,-3.5,44.5,75.0,10.0,1.6666666666666667,2.6666666666666665,0.0,23.0,8,7.333333333333332,9.666666666666666,1.3333333333333333,83.33333333333333,0,0,0,0,0,0,0,1,4500.0,1.6
"Adams, Jerell",2017,6,October,NYG,DEN,24.288,0,0,-12.0,39.0,60.0,4.0,0.6666666666666666,1.6666666666666667,0.0,16.333333333333332,6,7.0,11.333333333333336,1.3333333333333333,90.0,0,0,0,0,0,0,0,1,4500.0,1.1
"Adams, Jerell",2017,16,December,NYG,ARI,24.358,0,0,-3.0,39.0,72.0,0.0,1.0,1.0,0.0,6.0,31,5.0,7.666666666666668,1.0,57.66666666666666,1,0,0,0,0,0,0,0,4500.0,5.1
"Adams, Jerell",2017,17,December,NYG,WAS,25.0,1,0,-4.5,41.0,16.0,16.0,2.5,2.5,0.0,18.5,22,3.6666666666666665,5.333333333333333,1.0,37.0,0,0,0,0,0,0,0,1,4500.0,0.0
"Allen, Dwayne",2012,2,September,IND,MIN,22.205,1,0,-3.0,45.5,72.0,0.0,3.0,6.0,0.0,36.0,13,1.0,3.0,0.0,17.0,1,0,0,0,0,0,0,0,4500.0,6.8
"Allen, Dwayne",2012,3,September,IND,JAX,22.212,1,1,-3.0,42.0,72.0,0.0,2.0,3.5,0.5,19.5,30,2.0,4.0,0.5,26.0,1,0,0,0,0,0,0,0,4500.0,6.0
