Name,Year,Week,Month,Team,Oppt,Age,h/a,Favored,Spread,O/U,Temperature,Wind,Receptions,Targets,Rec_TDs,Rec_Yds,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Weather_DOME,Weather_Fog,Weather_Rain,Weather_Rain | Fog,Weather_Snow,Weather_Snow | Fog,Weather_Snow | Freezing Rain,Weather_Sunny,FD salary,FD points
"Adams, Davante",2014,2,September,GB,NYJ,21.264,1,1,-7.0,46.5,63.0,11.0,3.0,6.333333333333332,0.0,48.0,15,13.0,18.0,1.0,119.0,0,0,0,0,0,0,0,1,4700.0,7.5
"Adams, Davante",2014,3,September,GB,DET,21.271,0,0,-1.5,52.0,72.0,0.0,2.6666666666666665,5.0,0.0,24.33333333333333,22,10.5,18.0,1.0,105.0,1,0,0,0,0,0,0,0,4600.0,2.1
"Adams, Davante",2014,4,September,GB,CHI,21.278000000000002,0,1,-2.0,51.0,78.0,6.0,3.0,4.666666666666667,0.0,26.0,17,12.0,19.33333333333333,0.6666666666666666,138.33333333333334,0,0,0,0,0,0,0,1,4500.0,2.8
"Adams, Davante",2014,5,October,GB,MIN,21.281999999999996,1,1,-8.5,46.5,63.0,7.0,3.0,4.333333333333333,0.0,26.33333333333333,23,10.666666666666666,19.0,1.0,126.0,0,1,0,0,0,0,0,0,4500.0,7.6
"Adams, Davante",2014,6,October,GB,MIA,21.291999999999998,0,1,-1.5,47.0,88.0,12.0,1.6666666666666667,3.333333333333333,0.3333333333333333,13.333333333333336,14,12.0,21.66666666666667,0.6666666666666666,139.0,0,0,0,0,0,0,0,1,4900.0,10.7
"Adams, Davante",2014,7,October,GB,CAR,21.299,1,1,-6.5,49.5,53.0,11.0,3.0,5.0,0.3333333333333333,35.333333333333336,12,11.0,21.0,1.3333333333333333,122.66666666666669,0,0,0,0,0,0,0,1,5200.0,8.6
"Adams, Davante",2014,8,October,GB,NO,21.305999999999997,0,0,-2.0,55.5,72.0,0.0,2.6666666666666665,4.333333333333333,0.6666666666666666,36.333333333333336,7,11.666666666666664,23.33333333333333,1.3333333333333333,131.66666666666666,1,0,0,0,0,0,0,0,5400.0,11.0
"Adams, Davante",2014,11,November,GB,PHI,21.326999999999998,1,1,-4.5,55.5,27.0,9.0,1.0,2.0,0.0,10.0,4,13.666666666666664,21.66666666666667,1.3333333333333333,168.66666666666666,0,0,0,0,0,0,0,1,5200.0,8.3
"Adams, Davante",2014,12,November,GB,MIN,21.334,0,1,-7.5,49.5,46.0,6.0,1.5,2.0,0.5,11.5,13,16.0,23.0,1.3333333333333333,212.0,0,1,0,0,0,0,0,0,5300.0,1.5
"Adams, Davante",2014,13,November,GB,NE,21.340999999999998,1,1,-3.0,58.0,23.0,7.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,11.0,20,14.333333333333336,24.33333333333333,1.6666666666666667,181.33333333333331,0,0,0,0,0,0,0,1,5100.0,15.1
"Adams, Davante",2014,15,December,GB,BUF,21.355,0,1,-3.5,50.0,34.0,9.0,3.0,5.666666666666668,0.3333333333333333,48.0,30,12.666666666666664,22.33333333333333,2.6666666666666665,170.33333333333334,0,0,0,0,0,0,0,1,5900.0,1.1
"Adams, Davante",2014,16,December,GB,TB,21.362,0,1,-11.5,49.0,76.0,4.0,2.6666666666666665,6.333333333333332,0.0,45.66666666666666,29,11.0,20.0,2.0,153.0,0,0,0,0,0,0,0,1,5400.0,2.7
"Adams, Davante",2015,2,September,GB,SEA,22.27,1,1,-3.0,49.5,54.0,6.0,3.333333333333333,5.666666666666668,0.0,28.66666666666667,25,8.0,18.0,0.0,145.0,0,0,0,0,0,0,0,1,6400.0,5.8
"Adams, Davante",2015,3,September,GB,KC,22.278000000000002,1,1,-5.5,47.5,62.0,3.0,4.333333333333333,6.333333333333332,0.0,35.666666666666664,19,9.0,16.0,0.5,133.5,0,0,0,0,0,0,0,1,6400.0,0.0
"Adams, Davante",2015,8,November,GB,DEN,22.311999999999998,0,1,-2.5,45.5,52.0,4.0,2.6666666666666665,4.333333333333333,0.0,25.0,10,11.666666666666664,21.66666666666667,0.6666666666666666,159.33333333333334,0,0,0,0,0,0,0,1,5300.0,1.3
"Adams, Davante",2015,9,November,GB,CAR,22.31900000000001,0,1,-2.5,46.0,53.0,7.0,2.0,3.0,0.0,13.666666666666664,5,13.666666666666664,23.66666666666667,0.6666666666666666,198.0,0,0,0,0,0,0,0,1,5100.0,14.8
