Age,Carries,Date,Month,Name,Oppt,Rec_TDs,Rec_Yds,Receptions,Rush_TDs,Rush_Yds,Targets,Team,Week,Year
26.238,16.0,2011-11-14,November,"Peterson, Adrian",GB,0.0,6.0,2.0,0.0,98.0,3.0,MIN,10,2011
24.343,5.0,2011-11-13,November,"Blount, LeGarrette",HOU,0.0,0.0,0.0,0.0,15.0,0.0,TB,10,2011
28.183,22.0,2011-11-13,November,"Gore, Frank",NYG,0.0,19.0,3.0,0.0,59.0,4.0,SF,10,2011
21.327,13.0,2011-11-13,November,"Ingram, Mark",ATL,0.0,0.0,0.0,0.0,40.0,0.0,NO,10,2011
21.047,2.0,2011-11-13,November,"Lewis, Dion",ARI,0.0,-3.0,1.0,0.0,10.0,1.0,PHI,10,2011
25.205,13.0,2011-11-13,November,"Lynch, Marshawn",BAL,0.0,14.0,2.0,0.0,33.0,2.0,SEA,10,2011
23.124,15.0,2011-11-13,November,"McCoy, LeSean",ARI,1.0,15.0,2.0,1.0,122.0,3.0,PHI,10,2011
21.280,2.0,2011-11-13,November,"Rodgers, Jacquizz",NO,0.0,33.0,3.0,0.0,0.0,5.0,ATL,10,2011
28.146,2.0,2011-11-13,November,"Sproles, Darren",ATL,0.0,75.0,7.0,0.0,7.0,9.0,NO,10,2011
24.237,7.0,2011-11-13,November,"Stewart, Jonathan",TEN,0.0,14.0,2.0,0.0,26.0,3.0,CAR,10,2011
25.321,16.0,2012-11-12,November,"Charles, Jamaal",PIT,0.0,0.0,0.0,0.0,87.0,0.0,KC,10,2012
25.342,3.0,2012-11-11,November,"Blount, LeGarrette",LAC,0.0,2.0,1.0,0.0,8.0,1.0,TB,10,2012
29.181,16.0,2012-11-11,November,"Gore, Frank",LAR,0.0,1.0,1.0,1.0,112.0,1.0,SF,10,2012
22.326,6.0,2012-11-11,November,"Ingram, Mark",ATL,0.0,0.0,0.0,0.0,15.0,1.0,NO,10,2012
26.203,21.0,2012-11-11,November,"Lynch, Marshawn",NYJ,0.0,12.0,2.0,0.0,85.0,2.0,SEA,10,2012
23.303,24.0,2012-11-11,November,"Martin, Doug",LAC,0.0,23.0,4.0,0.0,95.0,4.0,TB,10,2012
24.122,20.0,2012-11-11,November,"McCoy, LeSean",DAL,0.0,26.0,6.0,0.0,110.0,9.0,PHI,10,2012
27.235,17.0,2012-11-11,November,"Peterson, Adrian",DET,0.0,3.0,1.0,2.0,84.0,1.0,MIN,10,2012
24.015,3.0,2012-11-11,November,"Powell, Bilal",SEA,0.0,16.0,1.0,0.0,10.0,1.0,NYJ,10,2012
23.289,21.0,2012-11-11,November,"Ridley, Stevan",BUF,0.0,27.0,2.0,1.0,125.0,3.0,NE,10,2012
22.279,7.0,2012-11-11,November,"Rodgers, Jacquizz",NO,0.0,13.0,2.0,0.0,22.0,2.0,ATL,10,2012
22.345,2.0,2012-11-11,November,"Turbin, Robert",NYJ,0.0,2.0,1.0,0.0,5.0,1.0,SEA,10,2012
22.200,10.0,2013-11-11,November,"Miller, Lamar",TB,0.0,7.0,1.0,0.0,3.0,1.0,MIA,10,2013
21.353,4.0,2013-11-10,November,"Bernard, Giovani",BAL,0.0,8.0,1.0,0.0,22.0,2.0,CIN,10,2013
30.180,21.0,2013-11-10,November,"Gore, Frank",CAR,0.0,21.0,2.0,1.0,44.0,2.0,SF,10,2013
23.324,9.0,2013-11-10,November,"Ingram, Mark",DAL,0.0,0.0,0.0,0.0,11.0,0.0,NO,10,2013
27.202,17.0,2013-11-10,November,"Lynch, Marshawn",ATL,0.0,9.0,2.0,0.0,43.0,3.0,SEA,10,2013
25.121,31.0,2013-11-10,November,"McCoy, LeSean",GB,0.0,5.0,1.0,1.0,184.0,1.0,PHI,10,2013
23.277,2.0,2013-11-10,November,"Rodgers, Jacquizz",SEA,0.0,3.0,1.0,0.0,-1.0,1.0,ATL,10,2013
30.143,8.0,2013-11-10,November,"Sproles, Darren",DAL,0.0,88.0,6.0,0.0,22.0,6.0,NO,10,2013
23.343,3.0,2013-11-10,November,"Turbin, Robert",ATL,0.0,13.0,2.0,0.0,17.0,2.0,SEA,10,2013
24.330,12.0,2013-11-07,November,"Morris, Alfred",MIN,0.0,9.0,1.0,1.0,45.0,1.0,WAS,10,2013
28.231,18.0,2013-11-07,November,"Peterson, Adrian",WAS,1.0,18.0,4.0,2.0,93.0,4.0,MIN,10,2013
26.121,21.0,2014-11-10,November,"McCoy, LeSean",CAR,0.0,41.0,6.0,0.0,74.0,6.0,PHI,10,2014
31.143,11.0,2014-11-10,November,"Sproles, Darren",CAR,0.0,14.0,4.0,1.0,71.0,6.0,PHI,10,2014
27.234,9.0,2014-11-10,November,"Stewart, Jonathan",PHI,0.0,17.0,3.0,0.0,20.0,3.0,CAR,10,2014
23.272,4.0,2014-11-09,November,"Anderson, C.J.",OAK,0.0,0.0,0.0,0.0,27.0,0.0,DEN,10,2014
22.264,21.0,2014-11-09,November,"Bell, Le'Veon",NYJ,0.0,88.0,6.0,1.0,109.0,7.0,PIT,10,2014
27.339,4.0,2014-11-09,November,"Blount, LeGarrette",NYJ,0.0,0.0,0.0,1.0,6.0,1.0,PIT,10,2014
27.317,7.0,2014-11-09,November,"Charles, Jamaal",BUF,0.0,15.0,4.0,0.0,19.0,4.0,KC,10,2014
