Week,Year,GID,Name,Pos,Team,h/a,Oppt,FD points,FD salary,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Favored,Spread,O/U,Weather,Temperature,Wind
2,2011,3610,"Austin, Miles",WR,DAL,a,SF,36.6,7100.0,23,13.0,25.0,1.0,161.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3934,"Holley, Jesse",WR,DAL,a,SF,11.1,4500.0,23,13.0,25.0,1.0,161.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3876,"Ogletree, Kevin",WR,DAL,a,SF,5.6,4500.0,23,13.0,25.0,1.0,161.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,5130,"Harris, Dwayne",WR,DAL,a,SF,0.0,4500.0,23,13.0,25.0,1.0,161.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,5076,"Williams, Kyle",WR,SF,h,DAL,7.7,4500.0,1,11.0,22.0,2.0,137.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3670,"Ginn Jr., Ted",WR,SF,h,DAL,5.8,4700.0,1,11.0,22.0,2.0,137.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3774,"Morgan, Josh",WR,SF,h,DAL,5.0,4900.0,1,11.0,22.0,2.0,137.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3545,"Edwards, Braylon",WR,SF,h,DAL,2.6,5900.0,1,11.0,22.0,2.0,137.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,3830,"Maclin, Jeremy",WR,PHI,a,ATL,35.7,6500.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3688,"Smith, Steve",WR,PHI,a,ATL,3.9,5900.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3611,"Avant, Jason",WR,PHI,a,ATL,3.4,4700.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3770,"Jackson, DeSean",WR,PHI,a,ATL,3.1,7300.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3898,"Cooper, Riley",WR,PHI,a,ATL,0.0,4500.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3571,"White, Roddy",WR,ATL,h,PHI,9.8,7700.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,5089,"Jones, Julio",WR,ATL,h,PHI,3.9,5500.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3731,"Douglas, Harry",WR,ATL,h,PHI,2.9,4500.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3957,"Meier, Kerry",WR,ATL,h,PHI,0.0,4500.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,3732,"Weems, Eric",WR,ATL,h,PHI,0.0,4500.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0
