Week,Year,Name,Team,h/a,Oppt,FD points,FD salary,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Favored,Spread,O/U,Weather,Temperature,Wind,Age,Month,Rec_TDs,Rec_Yds,Receptions,Targets
2,2011,"Jackson, DeSean",PHI,a,ATL,3.1,7300.0,25,10.0,18.0,0.0,121.0,PHI,-2.5,49.5,DOME,72.0,0.0,24.291,9,0.3333333333333333,59.0,3.6666666666666665,5.666666666666668
2,2011,"Jones, Julio",ATL,h,PHI,3.9,5500.0,3,13.0,18.0,0.0,192.0,PHI,-2.5,49.5,DOME,72.0,0.0,22.227,9,1.3333333333333333,105.66666666666669,5.333333333333333,9.333333333333334
2,2011,"Britt, Kenny",TEN,h,BAL,24.0,7300.0,30,12.0,16.0,0.0,108.0,BAL,-6.0,39.0,Sunny,79.0,1.0,22.364,9,2.0,136.0,5.0,10.0
2,2011,"Decker, Eric",DEN,h,CIN,23.8,4500.0,2,7.0,12.0,0.0,66.0,DEN,-3.0,41.0,Sunny,73.0,6.0,24.187,9,0.0,18.33333333333333,1.3333333333333333,4.333333333333333
2,2011,"Green, A.J.",CIN,a,DEN,23.4,5500.0,16,6.0,17.0,0.0,108.0,DEN,-3.0,41.0,Sunny,73.0,6.0,23.049,9,0.0,66.33333333333333,4.333333333333333,8.0
2,2011,"Fitzgerald, Larry",ARI,a,WAS,22.8,7300.0,21,13.0,21.0,2.0,269.0,WAS,-4.5,45.0,Sunny,66.0,7.0,28.018,9,0.6666666666666666,106.33333333333331,5.333333333333333,9.333333333333334
2,2011,"Roberts, Andre",ARI,a,WAS,4.5,4500.0,21,13.0,21.0,2.0,269.0,WAS,-4.5,45.0,Sunny,66.0,7.0,23.252,9,0.6666666666666666,47.66666666666666,4.666666666666667,8.333333333333334
2,2011,"Wallace, Mike",PIT,h,SEA,22.6,7500.0,31,4.0,12.0,1.0,74.0,PIT,-14.0,40.0,Sunny,63.0,1.0,25.048,9,0.0,68.33333333333333,4.333333333333333,8.0
2,2011,"Brown, Antonio",PIT,h,SEA,8.8,4500.0,31,4.0,12.0,1.0,74.0,PIT,-14.0,40.0,Sunny,63.0,1.0,23.07,9,0.3333333333333333,81.33333333333333,4.333333333333333,8.0
2,2011,"Sanders, Emmanuel",PIT,h,SEA,6.0,4500.0,31,4.0,12.0,1.0,74.0,PIT,-14.0,40.0,Sunny,63.0,1.0,24.185,9,0.3333333333333333,17.0,1.6666666666666667,3.0
2,2011,"Tate, Golden",SEA,a,PIT,2.2,4500.0,6,6.0,9.0,0.0,59.0,PIT,-14.0,40.0,Sunny,63.0,1.0,23.047,9,0.0,38.66666666666666,3.333333333333333,6.666666666666668
2,2011,"Baldwin, Doug",SEA,a,PIT,0.9,4500.0,6,6.0,9.0,0.0,59.0,PIT,-14.0,40.0,Sunny,63.0,1.0,22.362,9,0.6666666666666666,41.0,3.333333333333333,5.666666666666668
2,2011,"Marshall, Brandon",MIA,h,HOU,16.9,7100.0,19,18.0,28.0,2.0,322.0,HOU,-3.0,47.5,Sunny,87.0,1.0,27.179,9,1.0,84.66666666666667,4.333333333333333,9.0
2,2011,"LaFell, Brandon",CAR,h,GB,12.9,4700.0,11,8.0,15.0,1.0,188.0,GB,-11.0,45.0,Sunny,67.0,1.0,24.318,9,0.3333333333333333,43.66666666666666,1.6666666666666667,4.333333333333333
2,2011,"Nelson, Jordy",GB,a,CAR,14.9,5500.0,14,17.0,26.0,2.0,251.0,GB,-11.0,45.0,Sunny,67.0,1.0,26.11,9,1.0,75.0,3.6666666666666665,6.0
2,2011,"Cobb, Randall",GB,a,CAR,1.5,4500.0,14,17.0,26.0,2.0,251.0,GB,-11.0,45.0,Sunny,67.0,1.0,21.027,9,0.0,40.0,2.6666666666666665,3.0
2,2011,"Garcon, Pierre",IND,h,CLE,4.3,6500.0,26,11.0,16.0,1.0,152.0,CLE,-1.5,39.0,DOME,72.0,0.0,25.041,9,0.0,40.0,4.333333333333333,9.333333333333334
2,2011,"Little, Greg",CLE,a,IND,5.8,5100.0,28,6.0,16.0,1.0,84.0,CLE,-1.5,39.0,DOME,72.0,0.0,22.111,9,0.3333333333333333,65.33333333333333,3.6666666666666665,7.333333333333332
3,2011,"Edelman, Julian",NE,a,BUF,1.3,4500.0,4,14.5,26.0,1.5,257.5,NE,-7.5,54.5,Sunny,81.0,8.0,25.126,9,0.0,8.0,1.0,1.5
3,2011,"Smith, Torrey",BAL,a,LAR,36.7,4500.0,16,19.0,31.5,1.0,236.5,BAL,-6.0,42.0,DOME,72.0,0.0,22.242,9,0.6666666666666666,54.33333333333334,4.333333333333333,7.666666666666668
3,2011,"Jackson, DeSean",PHI,h,NYG,4.3,7100.0,8,8.5,16.0,0.5,96.0,PHI,-8.0,46.5,Sunny,79.0,5.0,24.298,9,0.0,46.33333333333334,3.0,4.666666666666667
3,2011,"Wallace, Mike",PIT,a,IND,22.9,7800.0,25,7.5,14.0,0.5,82.0,PIT,-11.0,39.5,DOME,72.0,0.0,25.055,9,0.3333333333333333,91.33333333333331,5.666666666666668,9.333333333333334
3,2011,"Brown, Antonio",PIT,a,IND,9.5,4700.0,25,7.5,14.0,0.5,82.0,PIT,-11.0,39.5,DOME,72.0,0.0,23.077,9,0.0,53.33333333333334,4.0,7.333333333333332
3,2011,"Sanders, Emmanuel",PIT,a,IND,3.1,4800.0,25,7.5,14.0,0.5,82.0,PIT,-11.0,39.5,DOME,72.0,0.0,24.192,9,0.0,25.0,1.6666666666666667,3.0
3,2011,"Garcon, Pierre",IND,h,PIT,11.2,6500.0,5,10.5,15.0,0.5,138.0,PIT,-11.0,39.5,DOME,72.0,0.0,25.048,9,0.0,34.0,3.6666666666666665,7.0
3,2011,"Britt, Kenny",TEN,h,DEN,1.3,8000.0,21,8.5,14.0,0.0,99.5,TEN,-7.0,44.0,Sunny,78.0,1.0,23.006,9,1.5,135.5,7.0,11.5
