Week,Year,GID,Name,Pos,Team,h/a,Oppt,FD points,FD salary,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Favored,Spread,O/U,Weather,Temperature,Wind
2,2011,4051,"Gonzalez, Tony",TE,ATL,h,PHI,23.8,5700.0,18,4.0,7.0,1.0,30.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4138,"Zelenka, Joe",TE,ATL,h,PHI,0.0,4500.0,18,4.0,7.0,1.0,30.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4074,"Kelly, Reggie",TE,ATL,h,PHI,0.0,4500.0,18,4.0,7.0,1.0,30.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4512,"Palmer, Michael",TE,ATL,h,PHI,0.0,4500.0,18,4.0,7.0,1.0,30.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4363,"Celek, Brent",TE,PHI,a,ATL,6.3,4900.0,2,3.0,8.0,0.0,39.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4495,"Harbor, Clay",TE,PHI,a,ATL,0.0,4500.0,2,3.0,8.0,0.0,39.0,PHI,-2.5,49.5,DOME,72.0,0.0
2,2011,4494,"Gronkowski, Rob",TE,NE,h,LAC,22.6,5700.0,30,5.0,6.0,0.0,82.0,NE,-7.0,53.5,Sunny,63.0,12.0
2,2011,4498,"Hernandez, Aaron",TE,NE,h,LAC,15.7,5700.0,30,5.0,6.0,0.0,82.0,NE,-7.0,53.5,Sunny,63.0,12.0
2,2011,4223,"McMichael, Randy",TE,LAC,a,NE,1.1,4500.0,1,0.0,2.0,0.0,0.0,NE,-7.0,53.5,Sunny,63.0,12.0
2,2011,4270,"Gates, Antonio",TE,LAC,a,NE,0.0,8100.0,1,0.0,2.0,0.0,0.0,NE,-7.0,53.5,Sunny,63.0,12.0
2,2011,4467,"Sperry, Kory",TE,LAC,a,NE,0.0,4500.0,1,0.0,2.0,0.0,0.0,NE,-7.0,53.5,Sunny,63.0,12.0
2,2011,4420,"Keller, Dustin",TE,NYJ,h,JAX,19.1,5500.0,22,8.0,11.0,0.0,129.0,NYJ,-9.0,38.5,Sunny,71.0,1.0
2,2011,4431,"Mulligan, Matthew",TE,NYJ,h,JAX,1.8,4500.0,22,8.0,11.0,0.0,129.0,NYJ,-9.0,38.5,Sunny,71.0,1.0
2,2011,4481,"Cumberland, Jeff",TE,NYJ,h,JAX,0.7,4500.0,22,8.0,11.0,0.0,129.0,NYJ,-9.0,38.5,Sunny,71.0,1.0
2,2011,4461,"Miller, Zach",TE,JAX,a,NYJ,4.3,4500.0,3,2.0,5.0,0.0,9.0,NYJ,-9.0,38.5,Sunny,71.0,1.0
2,2011,4425,"Davis, Fred",TE,WAS,h,ARI,17.6,5500.0,9,2.0,3.0,0.0,59.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4513,"Paulsen, Logan",TE,WAS,h,ARI,0.0,4500.0,9,2.0,3.0,0.0,59.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4281,"Cooley, Chris",TE,WAS,h,ARI,0.0,5500.0,9,2.0,3.0,0.0,59.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4340,"King, Jeff",TE,ARI,a,WAS,10.6,4700.0,4,7.0,9.0,0.0,129.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4177,"Heap, Todd",TE,ARI,a,WAS,1.3,5500.0,4,7.0,9.0,0.0,129.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4171,"Leach, Mike",TE,ARI,a,WAS,0.0,4500.0,4,7.0,9.0,0.0,129.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4539,"Housler, Rob",TE,ARI,a,WAS,0.0,4500.0,4,7.0,9.0,0.0,129.0,WAS,-4.5,45.0,Sunny,66.0,7.0
2,2011,4262,"Witten, Jason",TE,DAL,a,SF,13.7,7100.0,5,6.0,10.0,1.0,94.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4433,"Phillips, John",TE,DAL,a,SF,1.3,4500.0,5,6.0,10.0,1.0,94.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4407,"Bennett, Martellus",TE,DAL,a,SF,0.0,4500.0,5,6.0,10.0,1.0,94.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4360,"Walker, Delanie",TE,SF,h,DAL,10.8,4500.0,7,4.0,6.0,0.0,31.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4323,"Davis, Vernon",TE,SF,h,DAL,2.8,6100.0,7,4.0,6.0,0.0,31.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4155,"Jennings, Brian",TE,SF,h,DAL,0.0,4500.0,7,4.0,6.0,0.0,31.0,DAL,-3.0,41.5,Sunny,72.0,3.0
2,2011,4248,"Clark, Dallas",TE,IND,h,CLE,11.2,6500.0,6,5.0,6.0,0.0,62.0,CLE,-1.5,39.0,DOME,72.0,0.0
2,2011,4485,"Eldridge, Brody",TE,IND,h,CLE,0.9,4500.0,6,5.0,6.0,0.0,62.0,CLE,-1.5,39.0,DOME,72.0,0.0
2,2011,4186,"Snow, Justin",TE,IND,h,CLE,0.0,4500.0,6,5.0,6.0,0.0,62.0,CLE,-1.5,39.0,DOME,72.0,0.0
2,2011,4411,"Tamme, Jacob",TE,IND,h,CLE,0.0,5100.0,6,5.0,6.0,0.0,62.0,CLE,-1.5,39.0,DOME,72.0,0.0
2,2011,4443,"Moore, Evan",TE,CLE,a,IND,8.1,4700.0,10,6.0,8.0,1.0,58.0,CLE,-1.5,39.0,DOME,72.0,0.0
