Week,Year,Name,Team,h/a,Oppt,FD points,FD salary,Opp_Rank,Opp_Avg_Rec_Allowed,Opp_Avg_Targets_Allowed,Opp_Avg_TDs_Allowed,Opp_Avg_Yds_Allowed,Favored,Spread,O/U,Weather,Temperature,Wind,Age,Month,Rec_TDs,Rec_Yds,Receptions,Targets
2,2011,"Gronkowski, Rob",NE,h,LAC,22.6,5700.0,30,5.0,6.0,0.0,82.0,NE,-7.0,53.5,Sunny,63.0,12.0,22.127,September,0.6666666666666666,97.0,5.666666666666668,8.0
2,2011,"Gates, Antonio",LAC,a,NE,0.0,8100.0,1,0.0,2.0,0.0,0.0,NE,-7.0,53.5,Sunny,63.0,12.0,31.092,September,0.6666666666666666,46.33333333333334,4.333333333333333,5.666666666666668
2,2011,"Phillips, John",DAL,a,SF,1.3,4500.0,5,6.0,10.0,1.0,94.0,DAL,-3.0,41.5,Sunny,72.0,3.0,24.099,September,0.3333333333333333,12.333333333333336,1.3333333333333333,1.3333333333333333
2,2011,"Walker, Delanie",SF,h,DAL,10.8,4500.0,7,4.0,6.0,0.0,31.0,DAL,-3.0,41.5,Sunny,72.0,3.0,27.037,September,0.0,0.0,0.0,1.6666666666666667
2,2011,"Davis, Vernon",SF,h,DAL,2.8,6100.0,7,4.0,6.0,0.0,31.0,DAL,-3.0,41.5,Sunny,72.0,3.0,27.23,September,0.3333333333333333,52.66666666666666,3.6666666666666665,7.0
2,2011,"Watson, Ben",CLE,a,IND,2.6,5700.0,10,6.0,8.0,1.0,58.0,CLE,-1.5,39.0,DOME,72.0,0.0,30.274,September,0.0,19.666666666666668,2.333333333333333,4.666666666666667
2,2011,"Graham, Jimmy",NO,h,CHI,10.9,5700.0,31,4.0,5.0,0.0,57.0,NO,-5.0,46.5,DOME,72.0,0.0,24.298,September,0.6666666666666666,55.66666666666666,5.333333333333333,9.333333333333334
2,2011,"Olsen, Greg",CAR,h,GB,3.9,4700.0,15,4.0,6.0,1.0,101.0,GB,-11.0,45.0,Sunny,67.0,1.0,26.191,September,0.3333333333333333,29.66666666666667,1.6666666666666667,4.0
2,2011,"Stocker, Luke",TB,a,MIN,2.2,4500.0,18,5.0,7.0,1.0,68.0,MIN,-1.0,41.0,DOME,72.0,0.0,23.063,September,0.0,6.0,1.3333333333333333,1.6666666666666667
2,2011,"Rudolph, Kyle",MIN,h,TB,2.0,4500.0,16,11.0,16.0,0.0,94.0,MIN,-1.0,41.0,DOME,72.0,0.0,21.313,September,0.3333333333333333,12.666666666666664,1.6666666666666667,2.6666666666666665
2,2011,"Cook, Jared",TEN,h,BAL,4.7,4500.0,17,2.0,3.0,0.0,28.0,BAL,-6.0,39.0,Sunny,79.0,1.0,24.164,September,0.3333333333333333,90.66666666666669,5.666666666666668,6.666666666666668
2,2011,"Dickson, Ed",BAL,a,TEN,3.5,5300.0,20,3.0,5.0,0.0,42.0,BAL,-6.0,39.0,Sunny,79.0,1.0,24.055,September,0.6666666666666666,23.0,2.333333333333333,3.6666666666666665
2,2011,"Kendricks, Lance",LAR,a,NYG,3.1,4500.0,27,1.0,3.0,0.0,13.0,NYG,-7.0,44.0,Sunny,68.0,6.0,23.232,September,0.0,19.33333333333333,2.0,3.0
2,2011,"Hoomanawanui, Michael",LAR,a,NYG,1.3,4500.0,27,1.0,3.0,0.0,13.0,NYG,-7.0,44.0,Sunny,68.0,6.0,23.077,September,0.0,21.0,2.0,3.0
2,2011,"Gresham, Jermaine",CIN,a,DEN,1.8,5300.0,26,6.0,13.0,2.0,80.0,DEN,-3.0,41.0,Sunny,73.0,6.0,23.094,September,0.3333333333333333,39.0,3.6666666666666665,6.333333333333332
3,2011,"Gronkowski, Rob",NE,a,BUF,26.4,6800.0,16,3.0,4.0,0.0,44.0,NE,-7.5,54.5,Sunny,81.0,8.0,22.134,September,0.6666666666666666,72.33333333333333,5.0,6.666666666666668
3,2011,"Graham, Jimmy",NO,h,HOU,18.0,6100.0,1,2.0,3.5,0.0,28.5,NO,-4.0,51.0,DOME,72.0,0.0,24.305,September,0.6666666666666666,63.66666666666666,5.666666666666668,8.666666666666666
3,2011,"Olsen, Greg",CAR,h,JAX,17.2,5200.0,31,4.5,6.0,0.5,84.5,CAR,-3.5,43.5,Rain,75.0,4.0,26.198,September,0.3333333333333333,34.0,1.6666666666666667,4.0
3,2011,"Lewis, Marcedes",JAX,a,CAR,2.5,5500.0,4,5.5,8.0,0.5,60.0,CAR,-3.5,43.5,Rain,75.0,4.0,27.129,September,0.0,39.66666666666666,2.0,5.0
3,2011,"Rudolph, Kyle",MIN,h,DET,5.4,4500.0,8,8.0,12.5,0.0,77.5,DET,-3.0,45.0,DOME,72.0,0.0,21.32,September,0.3333333333333333,17.666666666666668,1.6666666666666667,1.6666666666666667
3,2011,"Davis, Vernon",SF,a,CIN,15.2,5900.0,19,6.0,11.0,0.0,70.5,CIN,-1.0,38.5,Sunny,75.0,2.0,27.237,September,0.3333333333333333,48.0,4.0,6.666666666666668
3,2011,"Walker, Delanie",SF,a,CIN,1.4,4800.0,19,6.0,11.0,0.0,70.5,CIN,-1.0,38.5,Sunny,75.0,2.0,27.044,September,0.3333333333333333,12.666666666666664,0.6666666666666666,2.333333333333333
3,2011,"Gresham, Jermaine",CIN,h,SF,7.1,5100.0,7,4.0,8.0,1.0,47.0,CIN,-1.0,38.5,Sunny,75.0,2.0,23.101,September,0.3333333333333333,26.66666666666667,3.333333333333333,5.666666666666668
3,2011,"Watson, Ben",CLE,h,MIA,8.9,5500.0,27,5.5,8.5,1.0,47.0,MIA,-2.0,42.5,Sunny,77.0,5.0,30.281,September,0.0,20.33333333333333,2.333333333333333,4.666666666666667
3,2011,"Stocker, Luke",TB,h,ATL,4.3,4500.0,14,4.5,8.0,0.5,55.5,TB,-1.0,45.0,Sunny,89.0,9.0,23.07,September,0.0,11.666666666666664,1.6666666666666667,1.6666666666666667
3,2011,"Dickson, Ed",BAL,a,LAR,7.6,5200.0,26,3.0,4.5,0.0,40.0,BAL,-6.0,42.0,DOME,72.0,0.0,24.062,September,0.6666666666666666,25.0,2.333333333333333,5.0
3,2011,"Kendricks, Lance",LAR,h,BAL,2.7,4700.0,22,1.0,2.5,0.0,13.0,BAL,-6.0,42.0,DOME,72.0,0.0,23.238000000000003,September,0.0,19.33333333333333,2.0,3.6666666666666665
3,2011,"Hoomanawanui, Michael",LAR,h,BAL,1.5,4600.0,22,1.0,2.5,0.0,13.0,BAL,-6.0,42.0,DOME,72.0,0.0,23.083,September,0.0,14.5,1.5,2.5
3,2011,"Cook, Jared",TEN,h,DEN,2.2,4600.0,24,3.0,6.0,0.0,38.5,TEN,-7.0,44.0,Sunny,78.0,1.0,24.171,September,0.3333333333333333,103.0,6.333333333333332,7.333333333333332
3,2011,"Green, Virgil",DEN,a,TEN,1.2,4500.0,6,2.0,5.0,0.0,9.0,TEN,-7.0,44.0,Sunny,78.0,1.0,23.053,September,0.0,9.0,1.0,1.0
4,2011,"Graham, Jimmy",NO,a,JAX,24.2,6400.0,11,4.666666666666667,8.0,0.6666666666666666,86.33333333333331,NO,-9.0,45.0,Sunny,74.0,5.0,24.312,October,0.6666666666666666,73.66666666666667,4.666666666666667,8.0
4,2011,"Miller, Zach",JAX,h,NO,7.9,4800.0,2,7.0,11.0,0.6666666666666666,69.0,NO,-9.0,45.0,Sunny,74.0,5.0,26.363000000000003,October,0.0,28.0,3.0,4.0
4,2011,"Lewis, Marcedes",JAX,h,NO,5.3,5200.0,2,7.0,11.0,0.6666666666666666,69.0,NO,-9.0,45.0,Sunny,74.0,5.0,27.136,October,0.0,19.0,2.0,3.333333333333333
4,2011,"Phillips, John",DAL,h,DET,2.3,4500.0,16,5.0,8.0,0.6666666666666666,71.33333333333333,DAL,-2.5,46.5,DOME,72.0,0.0,24.113000000000003,October,0.3333333333333333,12.0,1.3333333333333333,1.6666666666666667
4,2011,"Cook, Jared",TEN,a,CLE,16.3,4500.0,6,3.0,5.666666666666668,0.0,42.0,CLE,-1.5,37.5,Sunny,55.0,2.0,24.178,October,0.3333333333333333,72.66666666666667,4.0,4.333333333333333
4,2011,"Watson, Ben",CLE,h,TEN,13.8,5400.0,1,4.0,6.333333333333332,0.6666666666666666,40.0,CLE,-1.5,37.5,Sunny,55.0,2.0,30.288,October,0.0,30.33333333333333,3.0,5.666666666666668
4,2011,"Gresham, Jermaine",CIN,h,BUF,15.0,5000.0,31,5.666666666666668,9.0,0.6666666666666666,72.33333333333333,BUF,-3.0,43.0,Sunny,59.0,1.0,23.108,October,0.3333333333333333,38.333333333333336,3.6666666666666665,6.666666666666668
4,2011,"Olsen, Greg",CAR,a,CHI,13.5,5400.0,32,3.6666666666666665,4.666666666666667,0.3333333333333333,61.33333333333334,CHI,-7.0,42.0,Sunny,60.0,8.0,26.205,October,0.3333333333333333,35.333333333333336,3.333333333333333,5.333333333333333
4,2011,"Davis, Vernon",SF,a,PHI,12.5,6000.0,10,5.666666666666668,10.333333333333334,0.0,67.66666666666667,PHI,-10.0,43.5,Rain | Fog,54.0,2.0,27.244,October,0.0,62.0,4.666666666666667,6.333333333333332
4,2011,"Walker, Delanie",SF,a,PHI,3.5,4800.0,10,5.666666666666668,10.333333333333334,0.0,67.66666666666667,PHI,-10.0,43.5,Rain | Fog,54.0,2.0,27.051,October,0.3333333333333333,15.666666666666664,1.0,2.333333333333333
4,2011,"Gronkowski, Rob",NE,a,OAK,2.0,7300.0,14,2.6666666666666665,3.6666666666666665,0.3333333333333333,32.666666666666664,NE,-6.5,55.5,Sunny,71.0,6.0,22.141,October,1.3333333333333333,91.0,6.0,8.0
4,2011,"Rudolph, Kyle",MIN,a,KC,5.9,4700.0,30,9.333333333333334,13.0,0.0,90.33333333333331,MIN,-3.0,40.0,Sunny,70.0,7.0,21.327,October,0.3333333333333333,25.66666666666667,2.0,2.0
4,2011,"Green, Virgil",DEN,a,GB,1.3,4500.0,23,2.6666666666666665,4.666666666666667,0.3333333333333333,30.66666666666667,GB,-12.0,46.5,Sunny,68.0,1.0,23.06,October,0.0,8.0,1.0,1.0
4,2011,"Dickson, Ed",BAL,h,NYJ,6.5,5200.0,29,3.0,5.0,0.0,38.333333333333336,BAL,-5.0,43.5,Sunny,51.0,6.0,24.069000000000006,October,0.3333333333333333,30.0,3.0,6.666666666666668
